timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1702759632743,19,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-4,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,19,0,0
1702759632746,21,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-9,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,21,0,0
1702759632748,20,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-6,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,20,0,0
1702759632750,20,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-1,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,20,0,1
1702759632752,18,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-3,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,18,0,0
1702759632754,19,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-5,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,19,0,1
1702759632757,20,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-2,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,19,0,1
1702759633363,624,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-8,text,true,,687,131,10,10,http://localhost:5000/api/v1/livros,623,0,1
1702759633363,621,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-7,text,true,,687,131,10,10,http://localhost:5000/api/v1/livros,620,0,1
1702759633364,621,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-4,text,true,,687,131,10,10,http://localhost:5000/api/v1/livros,621,0,1
1702759633367,619,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-6,text,true,,687,131,10,10,http://localhost:5000/api/v1/livros,618,0,1
1702759633510,764,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-9,text,true,,687,131,10,10,http://localhost:5000/api/v1/livros,764,0,1
1702759633524,774,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-1,text,true,,687,131,10,10,http://localhost:5000/api/v1/livros,774,0,1
1702759633526,773,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-3,text,true,,687,131,10,10,http://localhost:5000/api/v1/livros,773,0,0
1702759633539,784,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-5,text,true,,687,131,10,10,http://localhost:5000/api/v1/livros,784,0,0
1702759633539,782,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-2,text,true,,687,131,10,10,http://localhost:5000/api/v1/livros,782,0,0
1702759633550,743,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-10,text,true,,687,131,10,10,http://localhost:5000/api/v1/livros,743,0,1
1702759633552,187,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-7,text,true,,687,131,10,10,http://localhost:5000/api/v1/livros,186,0,2
1702759633552,188,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-8,text,true,,687,131,10,10,http://localhost:5000/api/v1/livros,188,0,3
1702759633556,190,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-4,text,true,,687,131,10,10,http://localhost:5000/api/v1/livros,190,0,2
1702759633570,202,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-6,text,true,,687,131,10,10,http://localhost:5000/api/v1/livros,202,0,2
1702759633570,59,PESQUISAR_TODOS_OS_LIVROS,200,OK,GRUPO_DE_USUARIOS_DA_BIBLIOTE 1-9,text,true,,687,131,9,9,http://localhost:5000/api/v1/livros,59,0,2
